"V1","V2"
"Q9ULX3","P04156"
"P04156","O43781"
"P61978","Q9H3D4"
"P35637","Q9H3D4"
"O60506","Q9H3D4"
"Q99729","Q9H3D4"
"P16104","P09874"
"P16104","P63104"
"P16104","Q9UBV8"
"P16104","P23528"
"Q13526","P05067"
"P05067","P21359"
"P30101","P05067"
"P05067","P30101"
"P05067","P04040"
"P05067","P78536"
"P05067","Q92876"
"Q92876","P47710"
"Q92876","P02675"
"Q92876","Q14031"
"Q92876","P02671"
"P02462","Q92876"
"Q92876","P08572"
"Q92876","Q01955"
"P53420","Q92876"
"Q92876","P29400"
"Q92876","Q92876"
"P48023","Q9NZQ3"
"Q5TCZ1","P48023"
"Q9UHR4","P48023"
"O95049","P48023"
"P54284","P48023"
"P48023","Q96JB8"
"P27986","P48023"
"P48023","Q6XZF7"
"P48023","Q8N1I0"
"P48023","O60229"
"P48023","Q6ZN28"
"P48023","O43295"
"P06241","P48023"
"Q16674","P48023"
"P48023","O75044"
"Q9NZM3","P48023"
"P14598","P48023"
"Q08881","P48023"
"P48023","O00305"
"P48023","A6NJZ7"
"P48023","Q08881"
"Q8WV41","P48023"
"P48023","Q9Y5X1"
"P48023","Q96RF0"
"P12931","Q07666"
"Q07666","P20936"
"Q07666","P62993"
"P46108","Q07666"
"Q07666","P19174"
"P48023","P07948"
"P48023","O43586"
"P48023","Q92882"
"P48023","P08631"
"P16333","P48023"
"P48023","P07947"
"P48023","P12931"
"Q9Y5X1","P48023"
"Q7Z6B7","P48023"
"A1X283","P48023"
"P48023","Q8TE67"
"P48023","Q9BRR9"
"P48023","Q9UKN7"
"O43639","P48023"
"P48023","O15117"
"P42680","P48023"
"P02549","P48023"
"P48023","Q9NSI8"
"P48023","Q8TEC5"
"Q15700","P48023"
"O60504","P48023"
"P48023","O75563"
"P46108","P48023"
"Q8N668","P51172"
"P51172","Q8N668"
"P51168","Q8N668"
"P51170","Q8N668"
"P05067","P02647"
"P02647","P05067"
"P56524","P41182"
"Q9ULU4","P41182"
"P00519","P63104"
"P00519","P31947"
"P61586","Q12774"
"P05067","P61812"
"Q96PY6","Q9GZX5"
"Q96PY6","Q9UHY8"
"Q96PY6","Q99689"
"Q96PY6","Q04917"
"Q96PY6","P46100"
"P49959","Q96PY6"
"Q96PY6","Q12888"
"Q96PY6","Q9Y496"
"Q14738","Q96PY6"
"Q96PY6","P49815"
"Q9UBT7","Q96PY6"
"Q96PY6","Q96PY6"
"Q9UHY8","Q96PY6"
"Q9Y3C5","O95630"
"P42566","Q9Y3C5"
"P62979","Q9Y3C5"
"P0CG47","Q9Y3C5"
"Q9GZX5","Q9Y3C5"
"Q9HAU4","Q9Y3C5"
"P21579","Q8WXE9"
"O00505","P46527"
"O15131","P46527"
"P46527","O15131"
"P31946","P46527"
"P46527","P62258"
"P05067","P01137"
"O95477","Q13884"
"Q13884","O95477"
"Q13424","O95477"
"Q92796","O95477"
"O95477","O15085"
"Q9NZN5","O95477"
"O95477","O75970"
"O95477","Q15700"
"O95477","Q9HAP6"
"P62330","P53365"
"P63000","P53365"
"P53365","P62330"
"P53365","P61204"
"P53365","P63000"
"O60307","P60484"
"P60484","O60307"
"Q99962","Q99700"
"Q99962","Q99961"
"Q99962","Q99962"
"Q99961","Q99961"
"Q99700","Q99962"
"P13796","Q99700"
"P13797","Q99700"
"Q99700","P13797"
"Q99700","P13796"
"P60880","Q8IUH5"
"P42858","Q8IUH5"
"Q8IUH5","P60880"
"Q13480","Q06124"
"Q13480","P27986"
"Q06124","Q13480"
"P29350","Q07666"
"Q07666","P06241"
"P19174","Q07666"
"P62993","Q07666"
"Q07666","P22681"
"P52333","Q07666"
"P06239","Q07666"
"Q07666","P07948"
"P06241","Q07666"
"Q96FX2","Q9UGK8"
"Q9UGK8","Q96FX2"
"Q9UGK8","Q96KP1"
"Q96EV8","Q9UL45"
"Q9UL45","P78537"
"Q9UL45","Q9UL45"
"P78537","Q9UL45"
"Q9NUP1","Q9UL45"
"Q96EV8","Q8TDH9"
"Q8TDH9","Q6QNY1"
"O95295","Q9NUP1"
"Q9NUP1","Q6QNY1"
"O95295","Q6QNY1"
"O95295","Q96EV8"
"P78537","O95295"
"Q6QNY1","P78537"
"Q6QNY0","Q6QNY1"
"Q99683","P63104"
"P31947","Q99683"
"P31946","Q99683"
"P27348","Q99683"
"Q04917","Q99683"
"P62258","Q99683"
"Q15075","P61020"
"Q15075","P20339"
"P61020","Q15075"
"P63244","Q9Y561"
"Q92823","O43301"
"Q9UK73","Q5VV43"
"Q9NRF2","Q5VV43"
"O43301","Q92823"
"Q5TCQ9","Q92823"
"Q5THJ4","Q8WXG6"
"Q9ULT8","Q8N6C5"
"Q9NZM3","O15056"
"Q6VN20","Q8N6C5"
"Q14008","Q92932"
"Q14157","O75051"
"Q8WUJ3","O75051"
"Q8N3X1","O75051"
"Q96AY4","O60290"
"Q8WUM4","O75051"
"Q9ULK2","O60290"
"O43166","Q9ULB1"
"Q9Y6X6","Q9ULB1"
"O15018","Q9ULB1"
"O15042","O60343"
"Q6N021","O60343"
"Q96L91","O60343"
"O60343","Q9NTZ6"
"Q9UH65","Q9NYQ7"
"Q96CW1","Q5JTH9"
"Q03001","Q9NYQ7"
"Q9P202","O75096"
"Q6PD62","Q9UHC6"
"Q9ULJ6","Q9UHC6"
"Q15047","O94985"
"Q14669","O94985"
"O60318","O94985"
"Q9H2G2","O94985"
"O43150","Q9UPZ6"
"O94986","Q9Y2J2"
"Q9UPW8","Q9Y2J2"
"Q96SN8","Q9BZC7"
"Q5TCQ9","Q8TD84"
"Q9UPR0","Q8TD84"
"Q86UL8","Q8TD84"
"Q14999","Q9ULL4"
"Q92563","Q9ULL4"
"O15085","Q9ULL4"
"Q86UL8","Q9ULL4"
"Q8IWT3","Q9ULL4"
"Q9UHV7","Q9ULK4"
"Q5TCQ9","Q9ULL4"
"Q8TB72","Q9ULK4"
"Q9UPW0","Q9ULK4"
"Q8N5D0","Q9ULK4"
"Q14CM0","Q9NRP7"
"O94875","Q9H2E6"
"Q96SN8","Q9NRP7"
"Q6P0Q8","Q9NRP7"
"Q9NZM3","Q9H2E6"
"Q9BX66","Q9H2E6"
"Q7Z6J0","Q9H2E6"
"Q14669","A5YM72"
"Q03001","Q9HCM3"
"Q9ULU8","Q9HCM3"
"Q9ULV0","Q9HCM3"
"Q9NZM3","Q9HCM3"
"Q9P267","Q9HCM3"
"Q6AI39","Q5VU97"
"Q9HCS7","Q5VU97"
"Q9ULJ6","Q5VU97"
"Q6VN20","Q5VU97"
"Q6VN20","Q9C0I4"
"O60307","Q9C0A0"
"O94952","Q9C0A0"
"Q6VN20","Q9C0A0"
"Q96CW1","Q96KG7"
"O60231","Q96KG7"
"Q13322","Q96KG7"
"O75643","Q96KG7"
"Q6VN20","Q96KG7"
"P05783","P29353"
"P00533","P68431"
"P00533","P13987"
"P49768","Q9NZJ7"
"Q7Z3T8","O60784"
"Q15075","Q7Z3T8"
"Q15075","O60784"
"Q8TEW0","Q9BYG5"
"Q8TEW0","Q9NPB6"
"Q15831","Q9Y376"
"Q04917","P41743"
"Q9NPB6","Q8TEW0"
"Q9NPB6","P41743"
"Q9NPB6","P60953"
"P41743","Q9NPB6"
"P41743","Q9BYG5"
"Q9C0K7","Q15831"
"Q9Y376","Q9C0K7"
"Q9BYG4","Q96L34"
"P41743","Q96L34"
"P41743","Q8TEW0"
"Q04917","Q96L34"
"Q8ND90","Q96L34"
"P60953","Q96L34"
"Q9NPB6","Q04917"
"Q04917","Q9BYG5"
"P41743","Q8ND90"
"Q15831","Q96L34"
"Q96L34","Q04917"
"Q15831","Q8TEW0"
"Q04917","Q8TEW0"
"Q8TEW0","Q04917"
"Q8TEW0","P41743"
"Q9Y376","Q15831"
"Q15831","Q9C0K7"
"P41743","P60953"
"P60953","P41743"
"P60953","Q9BYG5"
"Q9BYG5","P60953"
"Q9BYG5","Q8ND90"
"Q9NPB6","Q8ND90"
"Q9BYG5","P41743"
"Q8ND90","Q8TEW0"
"Q8TEW0","Q8ND90"
"Q9C0K7","Q9Y376"
"P41743","Q9BYG4"
"Q9BYG4","P60953"
"Q9BYG4","Q8TEW0"
"Q04917","Q9BYG4"
"Q8TEW0","P63104"
"P41743","P63104"
"Q9BYG4","Q7KZI7"
"Q8TEW0","Q15831"
"Q96L34","Q15831"
"Q9UJY5","Q15276"
"Q15276","Q9UJY5"
"Q15276","Q15276"
"P84077","Q9UJY5"
"Q99816","Q9UJY5"
"Q9UJY5","P0CG47"
"P0CG47","Q9UJY5"
"Q9UJY4","Q15276"
"Q15276","Q9UJY4"
"Q15276","Q9NZ52"
"Q9NZ52","Q15276"
"O43747","Q15276"
"O75843","Q15276"
"Q15276","O43747"
"Q15276","O75843"
"P05067","Q02410"
"Q02410","P05067"
"P05067","O00213"
"P00533","P62993"
"O00213","Q06481"
"P05067","O95704"
"O95704","Q06481"
"O00213","P05067"
"P08575","P06239"
"Q15075","Q9UL26"
"Q9UL26","Q15075"
"P20339","Q15075"
"P05067","Q13625"
"Q9UKS6","Q13444"
"Q9Y5X1","Q13444"
"Q13444","Q96R06"
"Q13444","Q9UI95"
"Q13444","Q99962"
"Q13443","Q9UI95"
"Q13443","Q9UKS6"
"Q13443","Q99962"
"Q13444","Q9UKS6"
"Q99962","Q13443"
"P29350","P20273"
"P43405","P20273"
"P20273","P19174"
"P29353","P05067"
"P05067","P29353"
"P05067","Q92529"
"P05067","Q92870"
"Q92870","Q06481"
"P05067","P36544"
"P07948","P20273"
"Q92569","P15391"
"P05067","Q99714"
"Q99714","P05067"
"Q15303","P78352"
"Q15303","Q13425"
"Q15303","Q15700"
"Q15303","Q92796"
"P78352","Q15303"
"P05067","Q9UQF2"
"Q16650","O14936"
"O14936","Q9Y2J0"
"Q9Y2J0","O14936"
"P08631","O43516"
"P08631","P42768"
"P08631","Q92556"
"P08631","P50570"
"P08631","Q92835"
"P08631","Q07889"
"P08631","Q96B97"
"P08631","Q9ULH1"
"P61978","P08631"
"P08631","Q9UI08"
"P08631","Q07666"
"Q9Y5K6","P08631"
"P08631","Q9Y3L3"
"P08631","Q99816"
"P08631","Q9H6R7"
"P08631","O00459"
"Q13094","P08631"
"P08631","P27986"
"P08631","P19338"
"P08631","Q15393"
"P08138","P05067"
"O75509","P05067"
"O95295","Q5S007"
"Q5S007","O95295"
"P35372","P21333"
"P21333","P35372"
"P25705","Q9NTG7"
"Q96EB6","Q13085"
"Q9UL18","O15397"
"O15397","Q9H9G7"
"Q9HCK5","O15397"
"Q9H9G7","O15397"
"P53350","Q9NR09"
"Q9NR09","Q02241"
"Q96GD4","Q9NR09"
"Q13439","Q9NR09"
"Q96A65","Q9NR09"
"Q02241","Q9NR09"
"Q9NR09","P53350"
"Q9NR09","Q02750"
"Q02750","Q9NR09"
"Q9NR09","Q96A65"
"P63167","P63244"
"O43521","P63244"
"P63244","P63167"
"P63244","P22303"
"P06733","P22303"
"P51693","P51693"
"Q06481","Q06481"
"P51693","Q06481"
"Q06481","P51693"
"Q9UKG1","Q8NEU8"
"Q6ZU15","Q8WYJ6"
"Q15019","Q6ZU15"
"Q6ZU15","O43236"
"Q16181","Q6ZU15"
"P05067","P49768"
"P05067","P49810"
"P05062","Q8NFJ9"
"Q93088","Q8NFJ9"
"P06881","Q8NFJ9"
"Q14203","Q8NFJ9"
"Q99497","Q8NFJ9"
"P68104","Q8NFJ9"
"Q8NFJ9","Q14152"
"Q99814","Q8NFJ9"
"Q9UPT5","Q8NFJ9"
"Q8NFJ9","Q9Y613"
"O75955","Q8NFJ9"
"Q8IWL3","Q8NFJ9"
"P05783","Q8NFJ9"
"Q02962","Q8NFJ9"
"Q53R12","Q8NFJ9"
"Q03154","Q96RK4"
"Q96RK4","P05062"
"Q93088","Q96RK4"
"Q96RK4","P06881"
"Q96RK4","Q14203"
"P68104","Q96RK4"
"Q96RK4","Q14152"
"Q96RK4","Q99814"
"Q9UPT5","Q96RK4"
"Q96RK4","Q9Y613"
"O75955","Q96RK4"
"Q8IWL3","Q96RK4"
"P05783","Q96RK4"
"Q02962","Q96RK4"
"Q15154","Q96RK4"
"Q9BXC9","Q03154"
"Q9BXC9","P05062"
"Q93088","Q9BXC9"
"Q9BXC9","P68104"
"Q9BXC9","Q99814"
"Q9UPT5","Q9BXC9"
"Q9Y613","Q9BXC9"
"Q9BXC9","O75955"
"Q8IWL3","Q9BXC9"
"P05783","Q9BXC9"
"Q9BXC9","Q02962"
"Q03154","Q8IWZ6"
"P05062","Q8IWZ6"
"Q9Y613","Q8IWZ6"
"O75955","Q8IWZ6"
"Q8IWZ6","P05783"
"Q02962","Q8IWZ6"
"Q99814","Q96RK4"
"Q8NFJ9","P05062"
"Q8IWZ6","P05062"
"Q8NFJ9","Q9UPT5"
"Q9UPT5","Q8IWZ6"
"Q8NFJ9","P05783"
"Q9BXC9","P05783"
"P05783","Q8IWZ6"
"O75955","Q9BXC9"
"Q8NFJ9","Q02962"
"Q02962","Q9BXC9"
"Q96RK4","Q02962"
"Q8IWZ6","Q02962"
"Q8NFJ9","P68104"
"P68104","Q9BXC9"
"Q96RK4","P68104"
"Q15154","Q8NFJ9"
"Q15154","Q9BXC9"
"O75955","P05067"
"P05067","O75955"
"P49840","P10636"
"P10636","P05067"
"P10636","P10636"
"P05067","P10636"
"O75886","Q13671"
"O75886","P00533"
"P00533","Q13671"
"Q13671","O75886"
"Q13671","P00533"
"P20339","Q13671"
"Q9UNZ2","P55072"
"Q9UKV5","P55072"
"P10636","Q9UNE7"
"Q9UNE7","P11142"
"Q9UNE7","P07900"
"Q7Z7E8","Q9UNE7"
"Q9UNE7","Q86WG3"
"Q05193","O00499"
"O00499","Q9Y2H0"
"Q13426","O00499"
"P09467","O00499"
"P55072","Q9UKV5"
"Q86WG3","Q9UNE7"
"Q9Y2H0","O00499"
"P11142","Q9UNE7"
"P07900","Q9UNE7"
"Q9UNE7","Q7Z7E8"
"O00499","P09467"
"O00499","Q13426"
"Q15019","Q14141"
"O95405","P08100"
"O95405","Q13277"
"P08100","O95405"
"Q13277","O95405"
"O43561","P06239"
"P06241","O43561"
"O43561","P19174"
"O43561","P62993"
"O60260","P49792"
"P49792","O60260"
"P21283","P62330"
"P62330","P21283"
"P08588","Q96QZ7"
"Q86UL8","P08588"
"P08588","Q5TCQ9"
"Q9HD26","P08588"
"Q5TCQ9","P08588"
"P52594","P42566"
"P49755","Q15363"
"P49768","P49755"
"P49755","Q92542"
"Q9NZ42","P49755"
"Q92542","P49755"
"Q05586","Q15303"
"Q05586","Q15147"
"O95433","P30793"
"P11142","P30793"
"P30793","Q9ULW5"
"P30793","Q96F85"
"P30793","Q13129"
"P30793","Q02447"
"Q02447","P30793"
"P30793","P30793"
"P30047","P30793"
"P30793","O95433"
"P63244","P48551"
"P48551","P63244"
"P04156","P04156"
"P05067","P05067"
"P05067","P04156"
"P04626","P04626"
"P00533","P04626"
"P63279","Q14103"
"Q14103","P63279"
"O43707","Q07157"
"Q07157","P17302"
"Q96RU3","Q96RU3"
"Q96RU3","Q05193"
"Q9BY11","Q05193"
"Q96RU3","P50570"
"Q9UQ16","Q96RU3"
"Q96RU3","Q9UQ16"
"Q9UJ41","P0CG47"
"P0CG47","Q8IYW5"
"Q9UM54","P0CG47"
"P0CG47","Q9UJ41"
"Q9UJ41","P00533"
"P00533","Q9UJ41"
"Q04917","O60565"
"Q9GZM8","Q9NRI5"
"Q9Y2D1","Q9NRI5"
"Q9NRI5","Q9GZM8"
"P18848","Q9NRI5"
"Q8TDR0","Q9NRI5"
"Q8TEE9","Q96ST3"
"Q07889","P16333"
"Q05193","P16333"
"P62993","Q05193"
"Q9H0R8","P41145"
"P41145","Q9H0R8"
"P41145","O95166"
"P35609","Q9NRI5"
"Q9NRI5","Q9Y2D1"
"Q9NRI5","Q6VMQ6"
"Q9NRI5","P12110"
"O15372","Q9NRI5"
"Q9NRI5","Q96MT8"
"Q9NRI5","Q6ZP82"
"Q9NRI5","Q8TDR0"
"Q9NRI5","P12883"
"Q96S59","Q9NRI5"
"Q8NF91","Q9NRI5"
"Q02833","Q9NRI5"
"Q9NRI5","Q9P2H0"
"P78559","Q9NRI5"
"Q9NRI5","P35609"
"Q9P2H0","Q9NRI5"
"P12883","Q9NRI5"
"Q9NRI5","Q96S59"
"Q9NRI5","Q8NF91"
"Q9NRI5","O15372"
"Q96MT8","Q9NRI5"
"Q6VMQ6","Q9NRI5"
"Q6ZP82","Q9NRI5"
"Q9NRI5","P23258"
"P31946","O94921"
"P62258","O94921"
"O94921","Q04917"
"O94921","P27348"
"O94921","P62258"
"Q04917","O94921"
"P27348","O94921"
"O94921","P31946"
"Q8WUM4","Q99816"
"Q8WUM4","Q9BY43"
"Q99962","Q8WUM4"
"Q8WUM4","Q99961"
"P41134","O14936"
"O14936","P41134"
"P34741","O14936"
"P11171","O14936"
"P63027","O94806"
"O94806","P63027"
"Q15276","P20339"
