#ID(s) interactor A	ID(s) interactor B	Alt. ID(s) interactor A	Alt. ID(s) interactor B	Alias(es) interactor A	Alias(es) interactor B	Interaction detection method(s)	Publication 1st author(s)	Publication Identifier(s)	Taxid interactor A	Taxid interactor B	Interaction type(s)	Source database(s)	Interaction identifier(s)	Confidence value(s)
uniprotkb:Q80TG9	uniprotkb:P35439	intact:EBI-877092|uniprotkb:Q9CYK3|uniprotkb:B9EIF8	intact:EBI-877897|dip:DIP-674N|uniprotkb:Q62646	psi-mi:lrfn2_mouse(display_long)|uniprotkb:Lrfn2(gene name)|psi-mi:Lrfn2(display_short)|uniprotkb:Kiaa1246(gene name synonym)|uniprotkb:Salm1(gene name synonym)	psi-mi:nmdz1_rat(display_long)|uniprotkb:Grin1(gene name)|psi-mi:Grin1(display_short)|uniprotkb:Nmdar1(gene name synonym)|uniprotkb:Glutamate [NMDA] receptor subunit zeta-1(gene name synonym)|uniprotkb:N-methyl-D-aspartate receptor subunit NR1(gene name synonym)	psi-mi:"MI:0007"(anti tag coimmunoprecipitation)	Wang et al. (2006)	pubmed:16495444|imex:IM-19403	taxid:10090(mouse)|taxid:10090(Mus musculus)	taxid:10116(rat)|taxid:10116("Rattus norvegicus (Rat)")	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0469"(IntAct)	intact:EBI-878076|imex:IM-19403-29	intact-miscore:0.52
uniprotkb:Q811D0	uniprotkb:Q80TG9	intact:EBI-514290|uniprotkb:Q62402|uniprotkb:Q6PGB5|uniprotkb:Q8CGN7	intact:EBI-877092|uniprotkb:Q9CYK3|uniprotkb:B9EIF8	psi-mi:dlg1_mouse(display_long)|uniprotkb:Synapse-associated protein 97(gene name synonym)|uniprotkb:Embryo-dlg/synapse-associated protein 97(gene name synonym)|uniprotkb:Dlg1(gene name)|psi-mi:Dlg1(display_short)|uniprotkb:Dlgh1(gene name synonym)	psi-mi:lrfn2_mouse(display_long)|uniprotkb:Lrfn2(gene name)|psi-mi:Lrfn2(display_short)|uniprotkb:Kiaa1246(gene name synonym)|uniprotkb:Salm1(gene name synonym)	psi-mi:"MI:0006"(anti bait coimmunoprecipitation)	Wang et al. (2006)	pubmed:16495444|imex:IM-19403	taxid:10090(mouse)|taxid:10090(Mus musculus)	taxid:10090(mouse)|taxid:10090(Mus musculus)	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0469"(IntAct)	intact:EBI-877163|imex:IM-19403-5	intact-miscore:0.58
uniprotkb:Q80TG9	uniprotkb:Q62108	intact:EBI-877092|uniprotkb:Q9CYK3|uniprotkb:B9EIF8	intact:EBI-300895|uniprotkb:Q5NCV5|uniprotkb:Q5NCV6|uniprotkb:Q5NCV7|uniprotkb:Q91WJ1	psi-mi:lrfn2_mouse(display_long)|uniprotkb:Lrfn2(gene name)|psi-mi:Lrfn2(display_short)|uniprotkb:Kiaa1246(gene name synonym)|uniprotkb:Salm1(gene name synonym)	psi-mi:dlg4_mouse(display_long)|uniprotkb:Dlg4(gene name)|psi-mi:Dlg4(display_short)|uniprotkb:Dlgh4(gene name synonym)|uniprotkb:Psd95(gene name synonym)|uniprotkb:Postsynaptic density protein 95(gene name synonym)|uniprotkb:Synapse-associated protein 90(gene name synonym)	psi-mi:"MI:0006"(anti bait coimmunoprecipitation)	Wang et al. (2006)	pubmed:16495444|imex:IM-19403	taxid:10090(mouse)|taxid:10090(Mus musculus)	taxid:10090(mouse)|taxid:10090(Mus musculus)	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0469"(IntAct)	intact:EBI-877168|imex:IM-19403-6	intact-miscore:0.52
uniprotkb:P70175	uniprotkb:Q80TG9	intact:EBI-396969	intact:EBI-877092|uniprotkb:Q9CYK3|uniprotkb:B9EIF8	psi-mi:dlg3_mouse(display_long)|uniprotkb:Dlg3(gene name)|psi-mi:Dlg3(display_short)|uniprotkb:Dlgh3(gene name synonym)|uniprotkb:Synapse-associated protein 102(gene name synonym)	psi-mi:lrfn2_mouse(display_long)|uniprotkb:Lrfn2(gene name)|psi-mi:Lrfn2(display_short)|uniprotkb:Kiaa1246(gene name synonym)|uniprotkb:Salm1(gene name synonym)	psi-mi:"MI:0006"(anti bait coimmunoprecipitation)	Wang et al. (2006)	pubmed:16495444|imex:IM-19403	taxid:10090(mouse)|taxid:10090(Mus musculus)	taxid:10090(mouse)|taxid:10090(Mus musculus)	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0469"(IntAct)	intact:EBI-877173|imex:IM-19403-7	intact-miscore:0.40
uniprotkb:Q80TG9	uniprotkb:P35439-1	intact:EBI-877092|uniprotkb:Q9CYK3|uniprotkb:B9EIF8	intact:EBI-877923	psi-mi:lrfn2_mouse(display_long)|uniprotkb:Lrfn2(gene name)|psi-mi:Lrfn2(display_short)|uniprotkb:Kiaa1246(gene name synonym)|uniprotkb:Salm1(gene name synonym)	psi-mi:p35439-1(display_long)|uniprotkb:Grin1(gene name)|psi-mi:Grin1(display_short)|uniprotkb:Nmdar1(gene name synonym)|uniprotkb:N-methyl-D-aspartate receptor subunit NR1(gene name synonym)|uniprotkb:Glutamate [NMDA] receptor subunit zeta-1(gene name synonym)	psi-mi:"MI:0006"(anti bait coimmunoprecipitation)	Wang et al. (2006)	pubmed:16495444|imex:IM-19403	taxid:10090(mouse)|taxid:10090(Mus musculus)	taxid:10116(rat)|taxid:10116("Rattus norvegicus (Rat)")	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0469"(IntAct)	intact:EBI-877998|imex:IM-19403-24	intact-miscore:0.40
uniprotkb:Q80TG9	uniprotkb:P35439-1	intact:EBI-877092|uniprotkb:Q9CYK3|uniprotkb:B9EIF8	intact:EBI-877923	psi-mi:lrfn2_mouse(display_long)|uniprotkb:Lrfn2(gene name)|psi-mi:Lrfn2(display_short)|uniprotkb:Kiaa1246(gene name synonym)|uniprotkb:Salm1(gene name synonym)	psi-mi:p35439-1(display_long)|uniprotkb:Grin1(gene name)|psi-mi:Grin1(display_short)|uniprotkb:Nmdar1(gene name synonym)|uniprotkb:N-methyl-D-aspartate receptor subunit NR1(gene name synonym)|uniprotkb:Glutamate [NMDA] receptor subunit zeta-1(gene name synonym)	psi-mi:"MI:0006"(anti bait coimmunoprecipitation)	Wang et al. (2006)	pubmed:16495444|imex:IM-19403	taxid:10090(mouse)|taxid:10090(Mus musculus)	taxid:10116(rat)|taxid:10116("Rattus norvegicus (Rat)")	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0469"(IntAct)	intact:EBI-878002|imex:IM-19403-25	intact-miscore:0.40
uniprotkb:Q80TG9	uniprotkb:P35439-4	intact:EBI-877092|uniprotkb:Q9CYK3|uniprotkb:B9EIF8	intact:EBI-877935|intact:EBI-8689752|intact:MINT-101390	psi-mi:lrfn2_mouse(display_long)|uniprotkb:Lrfn2(gene name)|psi-mi:Lrfn2(display_short)|uniprotkb:Kiaa1246(gene name synonym)|uniprotkb:Salm1(gene name synonym)	psi-mi:p35439-4(display_long)|uniprotkb:Grin1(gene name)|psi-mi:Grin1(display_short)|uniprotkb:Nmdar1(gene name synonym)|uniprotkb:N-methyl-D-aspartate receptor subunit NR1(gene name synonym)|uniprotkb:Glutamate [NMDA] receptor subunit zeta-1(gene name synonym)	psi-mi:"MI:0006"(anti bait coimmunoprecipitation)	Wang et al. (2006)	pubmed:16495444|imex:IM-19403	taxid:10090(mouse)|taxid:10090(Mus musculus)	taxid:10116(rat)|taxid:10116("Rattus norvegicus (Rat)")	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0469"(IntAct)	intact:EBI-878007|imex:IM-19403-26	intact-miscore:0.40
uniprotkb:Q80TG9	uniprotkb:P35439-4	intact:EBI-877092|uniprotkb:Q9CYK3|uniprotkb:B9EIF8	intact:EBI-877935|intact:EBI-8689752|intact:MINT-101390	psi-mi:lrfn2_mouse(display_long)|uniprotkb:Lrfn2(gene name)|psi-mi:Lrfn2(display_short)|uniprotkb:Kiaa1246(gene name synonym)|uniprotkb:Salm1(gene name synonym)	psi-mi:p35439-4(display_long)|uniprotkb:Grin1(gene name)|psi-mi:Grin1(display_short)|uniprotkb:Nmdar1(gene name synonym)|uniprotkb:N-methyl-D-aspartate receptor subunit NR1(gene name synonym)|uniprotkb:Glutamate [NMDA] receptor subunit zeta-1(gene name synonym)	psi-mi:"MI:0006"(anti bait coimmunoprecipitation)	Wang et al. (2006)	pubmed:16495444|imex:IM-19403	taxid:10090(mouse)|taxid:10090(Mus musculus)	taxid:10116(rat)|taxid:10116("Rattus norvegicus (Rat)")	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0469"(IntAct)	intact:EBI-878013|imex:IM-19403-27	intact-miscore:0.40
uniprotkb:Q80TG9	uniprotkb:P35439	intact:EBI-877092|uniprotkb:Q9CYK3|uniprotkb:B9EIF8	intact:EBI-877897|dip:DIP-674N|uniprotkb:Q62646	psi-mi:lrfn2_mouse(display_long)|uniprotkb:Lrfn2(gene name)|psi-mi:Lrfn2(display_short)|uniprotkb:Kiaa1246(gene name synonym)|uniprotkb:Salm1(gene name synonym)	psi-mi:nmdz1_rat(display_long)|uniprotkb:Grin1(gene name)|psi-mi:Grin1(display_short)|uniprotkb:Nmdar1(gene name synonym)|uniprotkb:Glutamate [NMDA] receptor subunit zeta-1(gene name synonym)|uniprotkb:N-methyl-D-aspartate receptor subunit NR1(gene name synonym)	psi-mi:"MI:0006"(anti bait coimmunoprecipitation)	Wang et al. (2006)	pubmed:16495444|imex:IM-19403	taxid:10090(mouse)|taxid:10090(Mus musculus)	taxid:10116(rat)|taxid:10116("Rattus norvegicus (Rat)")	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0469"(IntAct)	intact:EBI-878035|imex:IM-19403-28	intact-miscore:0.52
uniprotkb:P31016	uniprotkb:Q460M5	intact:EBI-375655|dip:DIP-29264N|uniprotkb:P97631	intact:EBI-877185	psi-mi:dlg4_rat(display_long)|uniprotkb:Dlg4(gene name)|psi-mi:Dlg4(display_short)|uniprotkb:Dlgh4(gene name synonym)|uniprotkb:Postsynaptic density protein 95(gene name synonym)|uniprotkb:Synapse-associated protein 90(gene name synonym)|uniprotkb:Psd95(gene name synonym)	psi-mi:lrfn2_rat(display_long)|uniprotkb:Salm1(gene name synonym)|uniprotkb:Lrfn2(gene name)|psi-mi:Lrfn2(display_short)	psi-mi:"MI:0006"(anti bait coimmunoprecipitation)	Wang et al. (2006)	pubmed:16495444|imex:IM-19403	taxid:10116(rat)|taxid:10116("Rattus norvegicus (Rat)")	taxid:10116(rat)|taxid:10116("Rattus norvegicus (Rat)")	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0469"(IntAct)	intact:EBI-877197|imex:IM-19403-8	intact-miscore:0.46
uniprotkb:Q460M5	uniprotkb:Q62696	intact:EBI-877185	intact:EBI-389325	psi-mi:lrfn2_rat(display_long)|uniprotkb:Salm1(gene name synonym)|uniprotkb:Lrfn2(gene name)|psi-mi:Lrfn2(display_short)	psi-mi:dlg1_rat(display_long)|uniprotkb:Dlg1(gene name)|psi-mi:Dlg1(display_short)|uniprotkb:Synapse-associated protein 97(gene name synonym)|uniprotkb:Dlgh1(gene name synonym)	psi-mi:"MI:0006"(anti bait coimmunoprecipitation)	Wang et al. (2006)	pubmed:16495444|imex:IM-19403	taxid:10116(rat)|taxid:10116("Rattus norvegicus (Rat)")	taxid:10116(rat)|taxid:10116("Rattus norvegicus (Rat)")	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0469"(IntAct)	intact:EBI-877202|imex:IM-19403-9	intact-miscore:0.40
uniprotkb:Q62936	uniprotkb:Q460M5	intact:EBI-349596|uniprotkb:P70547	intact:EBI-877185	psi-mi:dlg3_rat(display_long)|uniprotkb:Synapse-associated protein 102(gene name synonym)|uniprotkb:PSD-95/SAP90-related protein 1(gene name synonym)|uniprotkb:Dlg3(gene name)|psi-mi:Dlg3(display_short)|uniprotkb:Dlgh3(gene name synonym)	psi-mi:lrfn2_rat(display_long)|uniprotkb:Salm1(gene name synonym)|uniprotkb:Lrfn2(gene name)|psi-mi:Lrfn2(display_short)	psi-mi:"MI:0006"(anti bait coimmunoprecipitation)	Wang et al. (2006)	pubmed:16495444|imex:IM-19403	taxid:10116(rat)|taxid:10116("Rattus norvegicus (Rat)")	taxid:10116(rat)|taxid:10116("Rattus norvegicus (Rat)")	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0469"(IntAct)	intact:EBI-877207|imex:IM-19403-10	intact-miscore:0.40
uniprotkb:Q460M5	uniprotkb:Q62936	intact:EBI-877185	intact:EBI-349596|uniprotkb:P70547	psi-mi:lrfn2_rat(display_long)|uniprotkb:Salm1(gene name synonym)|uniprotkb:Lrfn2(gene name)|psi-mi:Lrfn2(display_short)	psi-mi:dlg3_rat(display_long)|uniprotkb:Synapse-associated protein 102(gene name synonym)|uniprotkb:PSD-95/SAP90-related protein 1(gene name synonym)|uniprotkb:Dlg3(gene name)|psi-mi:Dlg3(display_short)|uniprotkb:Dlgh3(gene name synonym)	psi-mi:"MI:0006"(anti bait coimmunoprecipitation)	Wang et al. (2006)	pubmed:16495444|imex:IM-19403	taxid:10116(rat)|taxid:10116("Rattus norvegicus (Rat)")	taxid:10116(rat)|taxid:10116("Rattus norvegicus (Rat)")	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0469"(IntAct)	intact:EBI-877212|imex:IM-19403-11	intact-miscore:0.40
uniprotkb:P31016	uniprotkb:Q460M5	intact:EBI-375655|dip:DIP-29264N|uniprotkb:P97631	intact:EBI-877185	psi-mi:dlg4_rat(display_long)|uniprotkb:Dlg4(gene name)|psi-mi:Dlg4(display_short)|uniprotkb:Dlgh4(gene name synonym)|uniprotkb:Postsynaptic density protein 95(gene name synonym)|uniprotkb:Synapse-associated protein 90(gene name synonym)|uniprotkb:Psd95(gene name synonym)	psi-mi:lrfn2_rat(display_long)|uniprotkb:Salm1(gene name synonym)|uniprotkb:Lrfn2(gene name)|psi-mi:Lrfn2(display_short)	psi-mi:"MI:0006"(anti bait coimmunoprecipitation)	Wang et al. (2006)	pubmed:16495444|imex:IM-19403	taxid:10116(rat)|taxid:10116("Rattus norvegicus (Rat)")	taxid:10116(rat)|taxid:10116("Rattus norvegicus (Rat)")	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0469"(IntAct)	intact:EBI-877215|imex:IM-19403-12	intact-miscore:0.46
uniprotkb:Q460M5	uniprotkb:Q62696	intact:EBI-877185	intact:EBI-389325	psi-mi:lrfn2_rat(display_long)|uniprotkb:Salm1(gene name synonym)|uniprotkb:Lrfn2(gene name)|psi-mi:Lrfn2(display_short)	psi-mi:dlg1_rat(display_long)|uniprotkb:Dlg1(gene name)|psi-mi:Dlg1(display_short)|uniprotkb:Synapse-associated protein 97(gene name synonym)|uniprotkb:Dlgh1(gene name synonym)	psi-mi:"MI:0006"(anti bait coimmunoprecipitation)	Wang et al. (2006)	pubmed:16495444|imex:IM-19403	taxid:10116(rat)|taxid:10116("Rattus norvegicus (Rat)")	taxid:10116(rat)|taxid:10116("Rattus norvegicus (Rat)")	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0469"(IntAct)	intact:EBI-877218|imex:IM-19403-13	intact-miscore:0.40
